"country_name","year","isis_fighters","isis_attacks","n_cells","mean_nightlights","mean_gcp_ppp","total_population","mean_unemployment","mean_polity","mean_gov_effect","any_sunni_excluded"
"Afghanistan",2013,1,0,253,0.0580523705381146,0.561131787562968,25460727.2359772,NA,NA,-2.51934909820557,1
"Afghanistan",2014,3,0,254,0.060566191730923,0.585077452121092,27322983.5424789,NA,-1,-2.41106843948364,1
"Albania",2013,3,0,15,0.0850458141093637,1.04696895871093,3347047.99837967,17.5300006866455,9,0.0919297859072685,0
"Albania",2014,5,0,15,0.0860199918957747,1.03523934162219,3231246.58414337,19.1599998474121,9,0.485986232757568,0
"Algeria",2013,10,0,861,0.0659327522196542,0.530726667247626,40948775.6252509,8.30000019073486,2,-1.20237147808075,0
"Algeria",2014,17,0,869,0.0685042824880494,0.568711045281701,45260877.9315066,9.15999984741211,2,-1.19053518772125,0
"Australia",2014,11,0,3038,0.061906246880915,0.537625950168749,71849984.6174181,6,10,1.03219199180603,0
"Austria",2014,1,0,40,0.184764868544074,4.68706173406526,8959546.22599865,5.82999992370605,10,1.27070045471191,0
"Azerbaijan",2014,87,0,44,0.0958836553456811,0.766973630149462,8579605.39183296,4.01999998092651,-7,-0.559909522533417,0
"Bahrain",2013,9,0,1,0.298074429504055,4.66373724273631,535208.096645259,NA,-10,-1.33541774749756,0
"Bahrain",2014,9,0,1,0.300103760450337,4.68549830980055,536416.234228743,NA,-10,-0.907474875450134,0
"Belgium",2013,7,0,13,0.465121219399322,13.4684423120659,8096180.74897195,8.64000034332275,8,0.940082728862762,0
"Belgium",2014,21,2,18,0.501513338227679,12.2764009210052,12314358.9600334,9.02000045776367,8,0.701269447803497,0
"Bosnia-Herzegovina",2014,2,0,22,0.103640904044219,0.903036924398142,4116500.7549361,25.1800003051758,NA,-0.0191790424287319,0
"Canada",2013,4,0,8025,0.0676086740925127,0.429215578516741,152863106.553682,7.5,10,1.06142175197601,0
"Canada",2014,7,0,8030,0.069981245055628,0.474394673053311,169940624.426826,7.38000011444092,10,1.17550384998322,0
"China",2014,107,0,3880,0.0817676251050647,1.14089863979581,1313819228.25886,NA,-7,-0.522584021091461,1
"Croatia",2014,1,0,41,0.129795517046269,1.16749800589737,4858892.31013433,16.4500007629395,9,0.619112372398376,0
"Denmark",2013,2,0,51,0.135400422284517,2.70500451438981,5281333.90327534,6.75,10,0.959233462810516,0
"Egypt",2013,67,0,383,0.0849073247471382,0.952115133268063,64035535.3967693,9.85000038146973,-4,-1.63883090019226,0
"Egypt",2014,60,31,381,0.0867441756218163,0.950805157470213,65865311.8056042,9.60000038146973,-4,-1.63117659091949,0
"Finland",2014,4,0,276,0.123780984270273,0.834429405684758,9874991.56150768,9.32999992370605,10,1.28219723701477,0
"France",2013,37,0,285,0.201226432606085,5.60842238678157,61884679.7902178,10.0299997329712,9,0.448744118213654,0
"France",2014,37,0,282,0.201468497502491,5.55205001945978,60790127.3058034,10.5500001907349,9,0.300568491220474,0
"Georgia",2014,4,0,33,0.0735568585437117,0.665994264003306,6049066.97137737,14,7,-0.321507543325424,0
"German Federal Republic",2013,18,0,188,0.24397839784086,10.8829936613685,75001008.7430072,5.5,10,0.92798388004303,0
"German Federal Republic",2014,44,0,195,0.252922033868914,11.1211480223156,82783587.9328845,5.28000020980835,10,0.925186455249786,0
"India",2014,1,0,1197,0.112228830484925,1.73156992377791,1025477492.92356,4.09999990463257,9,-0.997911989688873,0
"Indonesia",2013,21,0,1023,0.0663455848896982,0.84361419201889,212638449.558461,6.01999998092651,8,-0.51926463842392,0
"Indonesia",2014,51,0,1033,0.0689149643550204,0.885797176630566,227368935.670184,NA,9,-0.416824042797089,0
"Iran (Persia)",2013,6,3,641,0.0969789564408012,1.03669191209716,78952933.216959,8.60000038146973,-7,-1.24968659877777,1
"Iran (Persia)",2014,8,0,641,0.0981918205373468,1.02853722186969,71023758.7936094,8.80000019073486,-7,-0.874987661838531,1
"Iraq",2013,16,789,164,0.0902011691452269,1.17307569119632,24600697.2368229,NA,3,-2.01139044761658,1
"Iraq",2014,9,2393,164,0.0941657777778412,1.21223519582658,24950370.0961646,NA,6,-2.48033785820007,1
"Ireland",2014,1,0,54,0.132861667313555,2.25950411105989,4716345.03097754,12.8100004196167,10,1.05299115180969,0
"Israel",2013,7,0,12,0.27025245629867,7.35222253858274,7475769.63896185,6.17000007629395,6,-1.10128474235535,1
"Israel",2014,13,19,15,0.312130768078941,7.37993703269634,10414064.901767,5.86999988555908,6,-1.03973531723022,1
"Italy/Sardinia",2013,1,0,199,0.234883435241077,7.66305634185219,59630226.2094372,11.4799995422363,10,0.495499193668365,0
"Italy/Sardinia",2014,1,0,199,0.235745694178828,7.63867632945948,59373190.9848276,11.8599996566772,10,0.458165407180786,0
"Jordan",2013,19,0,33,0.0971132807851934,0.601679588254083,4890427.42759058,10.6000003814697,-3,-0.6063152551651,1
"Jordan",2014,23,3,32,0.0983648710995367,0.612408812897962,4956000.33904383,10.1000003814697,-3,-0.540025532245636,1
"Kazakhstan",2014,13,0,1337,0.0652835873394327,0.428557813370931,40063555.0966559,NA,-6,0.0360181555151939,0
"Kenya",2014,1,0,192,0.0611579669713907,0.552713153609417,33665199.6634431,NA,9,-1.28224718570709,0
"Kosovo",2013,6,0,4,0.146037634354827,2.17717780139212,1944800.56673176,17.5300006866455,9,0.0919297859072685,0
"Kosovo",2014,8,0,4,0.139983676106328,2.19893886845636,1805611.38062792,19.1599998474121,9,0.485986232757568,0
"Kuwait",2013,1,0,8,0.263228422828967,5.70738035928788,1632250.47685815,NA,-7,0.166055589914322,0
"Kuwait",2014,16,0,9,0.278286413354988,6.0912999881786,2320118.92390295,NA,-7,0.149006545543671,0
"Kyrgyz Republic",2013,1,0,79,0.0652092457180199,0.358534947368315,5130589.69965176,7.42999982833862,7,-0.911773800849915,1
"Kyrgyz Republic",2014,12,0,83,0.0699906175241434,0.387468222836744,6676472.63723817,7.03000020980835,7,-0.804615676403046,1
"Lebanon",2013,4,0,5,0.289400351644705,4.01376737058687,3217413.32801615,NA,6,-1.69035339355469,1
"Lebanon",2014,22,82,5,0.291429682590988,4.03552843765111,3223454.01593357,NA,6,-1.69794130325317,1
"Libya",2013,48,0,651,0.0637982357322087,0.469129863013792,15577025.1380802,NA,0,-1.84407651424408,0
"Libya",2014,55,23,651,0.0665397020451146,0.496237929419469,16693125.1801815,NA,0,-2.35340714454651,0
"Macedonia (Former Yugoslav Republic of)",2013,6,0,11,0.106259902915715,1.11701715616119,1853844.57293107,28.9799995422363,9,-0.416076391935349,0
"Macedonia (Former Yugoslav Republic of)",2014,7,0,11,0.109706450757444,1.23171506592,1962465.81855474,27.6499996185303,9,0.256382942199707,0
"Malaysia",2014,2,0,144,0.092997867014476,1.70911659940565,24148668.608718,2.65000009536743,5,0.266619145870209,0
"Mauritania",2013,2,0,368,0.0568344025835708,0.35347591948561,8609932.99890679,NA,-2,-1.01476144790649,0
"Mauritius",2014,1,0,6,0.0907278434501472,1.93972760203334,1257725.36097833,5.44000005722046,10,0.667965948581696,0
"Morocco",2013,79,0,275,0.0671789060488219,0.631227204540037,33194250.9255069,9.10999965667725,-4,-0.493017613887787,0
"Morocco",2014,82,0,274,0.0689239995927323,0.650461528513155,32222516.0444418,9.48999977111816,-4,-0.446265608072281,0
"Netherlands",2013,2,0,18,0.313237705619838,14.8270174835082,8489555.09661513,7.19000005722046,10,1.14381539821625,0
"Netherlands",2014,7,0,21,0.342167251808053,15.7114056958262,11666297.3553876,7.13000011444092,10,1.04511535167694,0
"Norway",2014,2,0,334,0.101429836752026,0.889652685430904,10221313.0568177,3.71000003814697,10,1.11995851993561,0
"Oman",2014,1,0,129,0.0817194849610133,0.65915950695971,4887474.35571237,NA,-8,0.734907329082489,0
"Pakistan",2014,7,6,336,0.0996015924674883,1.04974007087276,147813816.953671,3.44000005722046,7,-2.40127921104431,0
"Poland",2014,1,0,174,0.183516075979749,2.54297398021071,41335300.3348247,8.5,10,0.842940807342529,0
"Qatar",2013,1,0,8,0.190148524831306,2.34959257247066,509225.748133188,0.0900000035762787,-10,1.21254646778107,0
"Qatar",2014,4,0,9,0.199002437906952,2.69128470154686,761346.557766488,0.0700000002980232,-10,0.977457761764526,0
"Russia (Soviet Union)",2013,3,0,12436,0.0681764733471111,0.452501057328941,326426487.030779,5.78999996185303,4,-0.736093640327454,1
"Russia (Soviet Union)",2014,121,0,12463,0.0705797859512216,0.482892008281924,359644991.487221,5.48000001907349,4,-0.943617463111877,1
"Saudi Arabia",2013,368,0,705,0.0806294412461914,0.864088760324406,31787130.3201781,2.77999997138977,-10,-0.431784123182297,0
"Saudi Arabia",2014,213,5,697,0.0823764205517935,0.886641987790001,32234828.9475447,2.75999999046326,-10,-0.285844653844833,0
"South Africa",2014,3,0,484,0.0807317964956741,1.03155771431885,49987367.0647701,23.1399993896484,9,-0.146388962864876,0
"Spain",2013,2,0,269,0.155831511021894,3.5813811553158,40404215.9316049,25.6000003814697,10,0.0120177594944835,0
"Spain",2014,4,0,271,0.159470506325728,3.62727428581342,41549092.0463765,23.6000003814697,10,0.243121743202209,0
"Sudan",2013,12,0,1270,0.0581579315072589,0.402288090275159,70637017.0802819,NA,-4,-2.19300961494446,0
"Sudan",2014,2,0,1266,0.0600124751292845,0.419443701033517,70125919.271262,NA,-4,-2.36308455467224,0
"Sweden",2013,3,0,355,0.114464566621634,0.96428098486883,13609569.0005528,8.19999980926514,10,1.12777805328369,0
"Sweden",2014,11,0,358,0.118438394842,1.02297071931651,14779054.60123,8.1899995803833,10,1.06541478633881,0
"Syria",2013,5,21,66,0.112359320449711,0.916308174815953,13936515.4021901,NA,-9,-2.68114280700684,1
"Syria",2014,39,266,70,0.116391124038966,1.00007005606789,16137701.245374,NA,-9,-2.74882411956787,1
"Tajikistan",2014,35,0,60,0.0724548036226438,0.397616888578121,7087629.39625414,NA,-3,-0.69334077835083,0
"Tanzania/Tanganyika",2014,2,0,316,0.0597825949967208,0.448273783370456,39448954.44802,2.96000003814697,-1,-0.597118556499481,0
"Trinidad and Tobago",2014,1,0,7,0.146174472780498,2.90286368291137,1414116.58404234,2.84999990463257,10,0.247864335775375,0
"Tunisia",2013,316,3,66,0.0948214298583799,0.934192984243554,9644142.70528802,13.2620000839233,6,-0.902563273906708,0
"Tunisia",2014,208,0,62,0.0944839166111566,0.89674130561405,8753561.97454735,NA,7,-0.851661503314972,0
"Turkey (Ottoman Empire)",2013,29,9,348,0.0916754479956952,1.88622718188917,68279879.3624657,7.92999982833862,9,-1.24993252754211,0
"Turkey (Ottoman Empire)",2014,189,38,365,0.0961353448559203,1.90914469774691,71971190.5202971,9.02999973297119,3,-1.08603596687317,0
"Turkmenistan",2014,1,0,209,0.0692172313433436,0.317350155799048,8982455.89826453,NA,-8,0.0742060318589211,0
"Ukraine",2014,4,0,317,0.111638828203845,0.956398106871427,54323930.1889515,10.8500003814697,4,-2.02083349227905,0
"United Arab Emirates",2013,1,0,31,0.178797790208344,3.44380035939337,2837965.49697593,NA,-8,0.894792199134827,0
"United Arab Emirates",2014,7,0,33,0.191946394412779,3.54149364177162,2959861.18046571,NA,-8,0.7689089179039,0
"United Kingdom",2013,22,0,215,0.204138544993077,7.67486659506645,60772160.4273102,7.94999980926514,10,0.48620143532753,0
"United Kingdom",2014,21,0,215,0.206424683535533,7.76146718012693,61291797.576736,6.3600001335144,10,0.415347635746002,0
"United States of America",2013,2,0,4858,0.120510508563665,2.36533670340757,347499229.524786,7.6399998664856,10,0.643072605133057,0
"United States of America",2014,5,0,4862,0.123137130276004,2.42476907675106,364478489.235712,6.26000022888184,10,0.582419633865356,0
"Uzbekistan",2014,59,0,191,0.0889957140732506,0.476654152692751,26321912.9316925,NA,-9,-0.273108631372452,0
"Yemen (Arab Republic of Yemen)",2013,13,0,177,0.0663213366844169,0.532540169232113,22003346.9854048,NA,3,-2.37482810020447,0
"Yemen (Arab Republic of Yemen)",2014,7,0,174,0.0677743076739312,0.549442616143898,20615349.1989707,NA,0,-2.66557502746582,0
